id,surname,birthday,address,phone_number
99,Harald,25-03-1995,69883 Goodland Center,213-125-3502
100,Stesha,28-12-1997,69921 Bayside Lane,715-820-0663
101,Scottie,10-10-1998,908 Union Crossing,205-669-0546
102,Hilton,21-05-1996,474 Anniversary Hill,969-804-4525
103,Creight,04-09-1998,13 Milwaukee Plaza,463-139-7117
104,Tabbie,26-05-1997,85 Monica Court,963-428-7719
105,Madelle,03-10-1997,42460 Colorado Court,394-703-0957
106,Jeri,15-12-1996,078 Sachtjen Trail,981-643-3887
107,Launce,01-07-1995,198 Pearson Hill,267-834-5223
108,Stacee,06-08-1998,406 Blue Bill Park Court,994-975-8697
109,Gerrard,04-08-1995,3 Sunfield Terrace,790-605-7010
110,Erich,07-03-1997,4373 Iowa Center,151-597-0257
111,Alva,24-09-1996,84840 Pepper Wood Court,900-962-7991
112,Lewie,27-12-1997,3017 Sommers Point,320-808-9748
113,Eloisa,15-12-1995,1 6th Lane,951-899-7966
114,Friedrick,18-05-1996,9025 Cascade Park,284-575-2416
115,Kath,04-08-1996,60434 Paget Court,808-297-3116
116,Fairfax,21-03-1995,0 Merry Crossing,644-197-2546
117,Matti,09-10-1997,4 Bartelt Avenue,803-458-4437
118,Lindsy,08-06-1995,53456 Golden Leaf Street,874-960-8761
119,Robin,28-07-1996,12953 Loftsgordon Circle,906-930-0830
120,Theresita,07-07-1997,86 Badeau Court,336-390-0057
121,Megen,23-04-1995,61 Hudson Terrace,114-888-3050
122,Shirley,03-08-1998,73530 Rusk Lane,290-727-4844
123,Waverly,09-11-1997,92 Artisan Drive,926-125-1541
124,Winnie,21-12-1997,66 Darwin Drive,969-497-3221
125,Ottilie,25-05-1996,47789 Cascade Point,569-217-0784
126,Chlo,04-12-1998,66 Riverside Court,831-695-4857
127,Milty,25-02-1995,999 Arkansas Plaza,502-368-5246
128,Natka,09-09-1995,08047 Carpenter Hill,158-976-1692
129,Garry,18-04-1996,3 Eggendart Trail,304-387-8738
130,Deana,13-02-1998,6 8th Alley,539-967-1501
131,Carlene,21-06-1998,8654 Summit Crossing,412-470-8046
132,Orson,26-04-1997,7 Darwin Alley,377-302-6252
133,Georgine,16-01-1995,4 Golden Leaf Parkway,863-679-7873
134,Drake,20-11-1997,78461 Thompson Parkway,324-399-8000
135,Dee dee,27-04-1995,8 Anthes Street,345-884-0373
136,Cari,09-04-1996,6853 Crowley Street,361-364-2132
137,Leontine,25-01-1997,69 Knutson Avenue,593-493-3471
138,Raquel,17-01-1995,3 Vidon Crossing,649-104-2246
139,Eve,26-03-1997,0 Reindahl Parkway,138-198-3916
140,Samantha,07-07-1996,16 Dayton Avenue,257-303-4595
141,Filia,03-08-1995,98438 Florence Drive,865-315-5942
142,Zia,17-02-1995,61 Golf Circle,121-895-5984
143,Suzie,27-03-1997,3 Ramsey Avenue,595-710-0871
144,Lee,10-07-1998,8 Roth Circle,339-808-3689
145,Milly,27-08-1997,29837 Westerfield Parkway,801-803-9621
146,Torin,01-04-1995,9 Waxwing Pass,834-997-8083
147,Felicia,02-06-1996,30 Oriole Avenue,433-357-6076
148,Jazmin,19-06-1997,47912 Vidon Street,779-647-3983
149,Brittney,30-09-1996,27 Judy Trail,862-884-5363
150,Penelopa,27-01-1995,45763 Pierstorff Parkway,313-987-1599
151,Judith,14-08-1998,58357 Ramsey Alley,892-339-5501
152,Tiertza,26-03-1996,2 Ridge Oak Crossing,663-663-4242
153,Leoline,14-06-1996,54424 Dwight Parkway,630-555-0679
154,Geneva,12-07-1998,5156 Knutson Terrace,115-208-3605
155,Marthe,21-05-1996,7430 Oak Terrace,164-447-8614
156,Rebeca,02-01-1996,58897 Marquette Center,748-153-7820
157,Brana,19-12-1995,01541 Transport Junction,807-330-7364
158,Raddie,08-12-1997,40 Carey Point,794-645-4904
159,Starlin,21-06-1995,0072 Nobel Trail,267-450-1404
160,Leland,07-05-1998,7679 Logan Center,981-248-0844
161,Westleigh,23-12-1998,32220 Summerview Parkway,374-645-5511
162,Harv,11-03-1997,7 Hansons Place,668-540-6479
163,Arvie,05-05-1996,74924 Hooker Street,572-541-9566
164,Kiley,31-12-1997,4007 Golf Course Court,561-729-4699
165,Rhonda,06-10-1995,050 Briar Crest Parkway,149-666-9958
166,Ahmad,24-12-1997,18 Welch Lane,312-526-2377
167,Jobey,02-06-1996,375 Kinsman Park,713-903-3577
168,Blondy,07-05-1998,8056 Pennsylvania Circle,120-678-2809
169,Isador,13-01-1995,6990 Stone Corner Junction,203-367-1347
170,Fran,11-09-1998,2581 Steensland Street,952-320-9445
171,Nanni,27-12-1998,4754 Kensington Court,785-860-8060
172,Mabel,04-12-1995,70250 Loeprich Alley,687-637-2884
173,Maurise,30-06-1996,2579 Mosinee Hill,507-860-8100
174,Dixie,07-05-1996,834 Judy Terrace,814-540-4602
175,Elsy,07-12-1998,5 Elmside Avenue,442-271-4091
176,Allx,26-03-1997,01140 Sutherland Circle,833-352-6507
177,Letitia,18-05-1997,01 Burning Wood Circle,154-509-2415
178,Ulric,17-10-1995,6188 Valley Edge Alley,355-833-4500
179,Bondon,29-10-1995,02 Eggendart Trail,113-275-4275
180,Romy,16-11-1995,3 Kingsford Road,687-762-5989
181,Pepillo,19-06-1997,4675 Spenser Drive,722-468-6847
182,Floria,13-09-1995,28758 Atwood Center,404-702-9647
183,Susy,07-04-1997,7 Manitowish Avenue,974-686-0745
184,Lilas,07-03-1995,5 Kropf Crossing,460-491-9603
185,Ree,18-06-1996,43370 Dovetail Lane,834-562-6777
186,Livy,07-12-1995,872 Menomonie Drive,184-508-5064
187,Thane,12-07-1995,033 Gerald Park,558-411-8464
188,Shana,13-07-1996,145 Eliot Avenue,112-916-2318
189,Anastasia,05-10-1998,86561 Westend Way,605-443-7847
190,Brnaby,21-08-1995,26 Larry Circle,516-630-0722
191,Annie,05-07-1995,630 Carioca Avenue,912-569-0027
192,Gradeigh,07-12-1998,15 Arkansas Junction,992-226-4692
193,Dredi,22-05-1998,21099 Cody Circle,171-136-0867
194,Oona,16-07-1996,64 Schmedeman Point,116-970-0505
195,Kyla,31-05-1998,984 Tony Lane,307-153-7061
196,Morry,25-03-1995,0 Stephen Point,290-809-0459
197,Joete,21-08-1998,7377 Golden Leaf Terrace,400-353-8675
198,Augustine,15-01-1998,83 Hagan Point,917-335-1363
199,Tomasine,31-01-1995,73 Barby Lane,249-493-4111
200,Juan,21-08-1996,5927 Karstens Street,587-352-1744
201,Simonne,09-12-1998,8 Nancy Hill,602-192-9970
202,Issy,19-01-1996,57 Stuart Court,267-596-1020
203,Darda,10-05-1998,15 Loeprich Alley,199-507-7032
204,Pate,15-01-1997,9604 Surrey Point,264-276-7890
205,Jeffry,13-03-1996,906 Coleman Plaza,149-600-6589
206,Gar,05-07-1996,384 Hazelcrest Point,172-954-9035
207,Derk,13-03-1997,4468 Novick Place,546-199-5816
208,Gunther,28-06-1997,8 Moose Trail,820-449-1141
209,Worden,22-12-1998,5 Graedel Terrace,925-184-0524
210,Burton,14-08-1995,5 Crownhardt Center,713-227-3577
211,Elinor,02-04-1998,8626 Bluestem Park,921-241-4252
212,Edithe,03-12-1997,12 8th Junction,975-342-0642
213,Ennis,08-04-1998,18 Mayfield Court,210-774-4196
214,Norma,05-08-1998,46998 Messerschmidt Court,644-201-1087
215,Annora,19-11-1995,60 Oakridge Trail,839-205-8384
216,Jessee,26-01-1998,7 Schlimgen Plaza,597-498-8825
217,Bernadine,27-03-1996,4502 Fremont Lane,609-280-9161
218,Fairfax,26-10-1996,4096 Linden Place,391-867-8681
219,Kathy,25-11-1997,70364 Golden Leaf Junction,123-182-6454
220,Kial,29-03-1997,8513 Anthes Park,236-790-0046
221,Philbert,12-01-1997,1545 Londonderry Parkway,735-348-8521
222,Minny,01-12-1998,79301 Golden Leaf Point,827-884-7375
223,Andria,16-12-1997,0391 Pennsylvania Circle,373-845-6321
224,Moises,27-12-1998,06 Reindahl Street,402-616-0368
225,Ariella,28-11-1998,4464 Butternut Circle,838-592-0947
226,Richart,11-03-1998,160 Crownhardt Trail,545-572-6812
227,Jenilee,24-02-1995,793 Red Cloud Plaza,344-211-0020
228,Ingaborg,16-05-1995,15 Scoville Circle,284-943-7572
229,Xaviera,30-05-1995,9 Bartillon Lane,282-215-3409
230,Robyn,27-03-1995,3 Banding Terrace,736-366-0382
231,Vite,25-04-1997,579 Randy Trail,107-566-3593
232,Colin,03-04-1996,35 Summer Ridge Street,334-478-7553
233,Clementius,03-06-1996,758 Johnson Lane,464-766-0454
234,Archambault,08-02-1997,059 Farwell Terrace,760-232-8127
235,Leena,01-02-1997,6072 Banding Parkway,383-745-9647
236,Cathrine,08-10-1997,668 Duke Lane,860-959-4388
237,Gwyn,18-01-1995,24 Longview Plaza,995-281-5258
238,Gabrielle,01-06-1998,4 Cherokee Drive,800-407-3049
239,Nettle,15-12-1998,52227 Ridge Oak Road,888-765-7708
240,Johannah,25-10-1995,6545 6th Avenue,585-819-2345
241,Sileas,03-06-1997,61 Katie Place,132-614-3805
242,Benedicto,13-05-1997,4 Susan Trail,792-630-4152
243,Breena,21-06-1997,91155 Blackbird Parkway,260-141-5656
244,Tan,22-08-1996,817 Vera Lane,909-554-8127
245,Ladonna,27-03-1998,25171 Old Shore Point,104-898-9430
246,Flora,07-11-1997,3 Oakridge Circle,113-623-2549
247,Anna-maria,14-06-1995,9 Shasta Hill,974-831-2650
248,Margot,04-05-1997,018 Manufacturers Alley,954-547-2077
249,Cam,15-03-1996,86 Continental Plaza,752-312-1210
250,Hermie,11-05-1995,610 Atwood Parkway,821-274-6101
251,Ignatius,17-05-1996,05931 Meadow Ridge Street,631-315-5671
252,Nicholle,19-02-1997,670 Fisk Center,256-942-4190
253,Dill,12-09-1996,210 Buhler Hill,694-964-9686
254,Ginnifer,04-10-1998,84854 Mesta Street,212-667-5980
255,Blondie,28-12-1995,8 Hoard Street,842-495-6057
256,Tedie,12-11-1997,8950 5th Lane,171-613-1797
257,Sarina,06-01-1997,9 Hauk Crossing,151-654-6880
258,Loralyn,11-10-1995,7 Dovetail Drive,645-383-1576
259,Stuart,20-10-1998,2652 Spaight Street,208-539-5357
260,Dorian,22-01-1998,51 Oak Valley Avenue,695-166-1890
261,Una,04-10-1996,1 Arkansas Crossing,701-929-6610
262,Gillian,23-01-1998,4519 Northland Drive,848-615-6120
263,Dasha,17-12-1995,1389 Longview Road,745-535-4349
264,Carlynne,13-10-1995,5219 Manley Trail,973-241-3669
265,Freda,30-09-1997,7 Golf Course Lane,104-316-3777
266,Mattie,20-12-1997,50 Lawn Pass,431-947-5028
267,Ryan,27-05-1995,5 Arkansas Center,669-542-4187
268,Luke,05-03-1995,606 Anderson Court,302-269-4017
269,Hasty,17-12-1996,89401 Ludington Street,269-903-2316
270,Thorsten,18-05-1996,07 Twin Pines Hill,312-985-4129
271,Stevy,19-02-1996,814 Sloan Crossing,989-616-4363
272,Christel,17-02-1998,0 Shoshone Avenue,556-412-2603
273,Ketti,11-04-1998,66 Lakewood Avenue,378-119-2534
274,Fredrick,07-12-1995,33464 Westend Drive,823-864-0775
275,Lemar,03-04-1998,1044 Comanche Alley,450-835-1434
276,Abeu,15-11-1996,3 Eagan Trail,150-200-0668
277,Karyl,16-06-1995,5781 Summer Ridge Avenue,807-615-7510
278,Katya,04-12-1996,26252 Golf View Parkway,205-600-1819
279,Rene,16-08-1995,8604 Dexter Hill,149-819-2276
280,Rickard,23-01-1995,8988 Chive Center,925-378-8978
281,Jacky,18-10-1996,5 Hanover Terrace,471-669-6950
282,Katharina,01-11-1997,36 Division Point,440-782-7714
283,Celina,20-10-1997,63 Golden Leaf Terrace,225-481-8746
284,Jillene,03-01-1996,67 Waywood Parkway,794-662-6839
285,Cris,15-10-1995,3 Kinsman Park,792-831-4631
286,David,27-11-1995,86 Melody Point,747-994-3994
287,Jolynn,19-11-1997,410 Fulton Circle,949-840-4906
288,Ezra,16-01-1995,1 Corscot Place,984-546-9510
289,Loralyn,14-03-1996,26825 Southridge Pass,724-779-9965
290,Scotty,28-08-1995,0797 Moose Place,380-508-0603
291,Miller,15-04-1996,0278 Vera Junction,985-276-4072
292,Jenelle,01-11-1996,42945 Hoffman Place,594-604-9156
293,Marlon,13-08-1998,48 Mccormick Trail,747-783-8700
294,Odelle,26-03-1997,1 Michigan Alley,999-490-7043
295,Gisela,14-08-1995,5 Westport Point,116-718-3069
296,Monica,02-02-1995,43551 Badeau Drive,754-556-9719
297,Pren,08-12-1995,01 Scoville Lane,329-640-9738
298,Parnell,14-11-1997,45 Petterle Trail,356-801-4359
299,Elyssa,12-05-1995,22 Transport Plaza,454-771-0734
300,Theodor,27-07-1995,3372 Bluestem Lane,883-783-4146
301,Diana,26-12-1996,4 Mayfield Junction,374-170-9765
302,Ferdinanda,27-01-1998,095 Fordem Court,671-850-3717
303,Burty,12-11-1998,52819 Golden Leaf Junction,695-988-0656
304,Glynis,25-02-1997,82 Crest Line Drive,402-284-1614
305,Gayle,26-02-1997,475 Buena Vista Hill,883-442-2405
306,Stephenie,04-12-1997,7441 Maryland Hill,801-252-7113
307,Cross,03-12-1995,3948 Towne Park,589-907-3019
308,Faulkner,21-06-1996,0 Shoshone Point,909-366-9187
309,Gilligan,29-05-1998,3 Miller Center,352-855-2360
310,Jules,27-04-1997,89379 Roth Pass,182-999-7346
311,Waiter,09-01-1995,3 Moland Center,382-718-4033
312,Annamarie,18-11-1997,8 Meadow Valley Terrace,779-785-4789
313,Oona,06-08-1998,132 Hovde Road,756-611-9146
314,Barbabas,12-12-1997,192 Lighthouse Bay Crossing,532-726-0417
315,Pammi,14-08-1996,1105 Arizona Hill,727-889-2057
316,Rowena,06-11-1995,7231 Browning Park,571-245-7609
317,Korie,26-01-1998,6 Meadow Vale Lane,189-592-3230
318,Edgar,22-03-1996,481 Mosinee Plaza,927-610-5335
319,Eddie,13-02-1997,629 Garrison Circle,286-866-5381
320,Wrennie,27-06-1995,09 Kedzie Circle,993-958-3166
321,Barby,22-09-1998,3163 Bultman Junction,860-496-1073
322,James,01-08-1996,1643 Reindahl Street,464-268-2626
323,Chicky,07-06-1995,388 Bonner Court,292-103-9623
324,Felicity,15-08-1995,8 Bluestem Terrace,643-757-9788
325,Briano,04-07-1997,186 Brown Pass,429-609-3948
326,Robby,12-11-1995,6 South Alley,386-644-9237
327,Rebbecca,29-03-1995,6646 Bluejay Parkway,841-598-6219
328,Ralf,07-01-1996,73 Elmside Plaza,384-622-7691
329,Wally,13-04-1995,2 Nobel Way,160-149-6111
330,Giovanni,25-04-1998,2 Lien Junction,825-796-0145
331,Lotti,23-03-1995,94 Sullivan Junction,212-711-4797
332,Berk,29-03-1996,49 Pepper Wood Junction,649-903-4969
333,Nolly,20-03-1995,565 Shelley Parkway,192-842-3511
334,Curtice,01-09-1997,805 Carey Junction,704-859-9217
335,Merilee,24-09-1998,130 Sloan Court,862-142-2467
336,Errick,24-04-1996,21 Northridge Road,692-778-7394
337,Janice,21-05-1996,10793 Prentice Junction,793-897-6904
338,Sammy,27-08-1995,7125 Sunfield Crossing,732-848-7115
339,Gustaf,07-09-1998,3 Pleasure Parkway,587-769-6132
340,Sorcha,11-02-1997,146 Vernon Avenue,219-554-1207
341,Tamma,07-06-1995,89 Waxwing Point,687-135-6999
342,Nelli,19-05-1995,7 Burning Wood Terrace,453-684-9057
343,Eryn,20-09-1995,8883 Pepper Wood Plaza,814-472-7987
344,Fran,28-05-1998,4 Waywood Park,318-400-6966
345,Frasquito,04-10-1995,5978 Johnson Parkway,355-617-2503
346,Mathew,30-11-1996,1569 Reindahl Junction,527-739-2340
347,Jeane,07-09-1998,8 Independence Hill,903-625-3746
348,Angelico,16-07-1998,73262 Old Shore Street,718-678-7179
349,Slade,29-11-1996,74014 5th Place,446-617-4687
350,Donnamarie,23-11-1997,1 Ryan Court,105-543-6663
351,Allx,07-08-1997,349 Spaight Center,318-196-3937
352,Mateo,23-03-1996,8821 Crowley Drive,750-267-9056
353,Art,06-10-1995,75 Melvin Trail,158-278-2153
354,Nero,01-10-1996,11078 Marcy Trail,225-947-9831
355,Meta,02-09-1995,7750 Spenser Point,321-543-1867
356,Uri,17-12-1998,25 Sunfield Park,935-445-5633
357,Reade,16-11-1996,7 Memorial Drive,443-167-8616
358,Nealy,17-01-1995,62 Jenna Way,833-109-5274
359,Kata,30-11-1998,7 Dexter Crossing,976-405-0319
360,Fons,17-10-1995,941 Melby Hill,427-988-6634
361,Ronalda,05-02-1995,97129 Tomscot Lane,196-823-9206
362,Tailor,04-03-1998,292 Bellgrove Point,200-244-9359
363,Halsy,20-03-1997,73539 Division Road,404-422-1323
364,Temp,11-02-1998,8 Carioca Trail,881-784-5851
365,Deva,18-04-1995,280 Fremont Avenue,355-476-2398
366,Brandie,17-11-1997,4782 Graedel Pass,136-757-7145
367,Audrey,19-09-1997,1984 Dawn Circle,287-434-9125
368,Laryssa,14-11-1998,6041 Dayton Point,553-721-1835
369,Aurora,21-08-1997,6741 Bultman Lane,124-739-8628
370,Cindra,13-01-1997,37187 Orin Center,354-526-9000
371,Peg,25-05-1997,4510 Chive Lane,362-188-4956
372,Doreen,20-01-1998,80536 Bluejay Avenue,954-819-9628
373,Alberik,19-02-1997,14386 Loomis Street,795-866-7361
374,Seana,22-08-1997,35210 Iowa Terrace,828-186-4507
375,Caril,24-03-1996,2841 Dawn Court,303-934-7022
376,Eadith,14-07-1995,6 Larry Trail,455-517-2450
377,Audy,15-08-1995,196 Kennedy Pass,370-296-1381
378,Rudiger,02-12-1998,0245 Colorado Point,699-240-5327
379,Wolf,01-09-1995,8 Sauthoff Junction,364-590-9801
380,Kary,20-11-1996,6682 Westend Way,301-813-7237
381,Nicolea,27-01-1998,00548 Messerschmidt Terrace,370-270-7687
382,Layla,10-05-1995,9 Kedzie Point,290-981-0840
383,Aloisia,20-08-1996,91874 Prentice Avenue,519-815-7045
384,Rockie,06-07-1997,5 Luster Pass,791-167-7304
385,Karoly,05-09-1996,47598 Sloan Trail,974-593-1930
386,Fidelity,30-07-1995,9272 Porter Terrace,707-227-3293
387,Murray,24-01-1997,3821 Elka Pass,822-866-2362
388,Lemmie,22-03-1995,1816 Bellgrove Circle,915-873-6936
389,Jillana,15-06-1996,08592 Stang Point,544-621-8271
390,Amie,13-07-1998,23 Dottie Lane,991-491-6048
391,Natty,18-09-1995,4 Toban Plaza,857-558-2269
392,Malissia,02-02-1997,3 Jana Center,673-704-3040
393,Elvira,27-01-1998,9561 Dryden Parkway,603-431-2904
394,Uri,03-04-1995,8116 Waxwing Lane,934-610-7225
395,Laurianne,22-12-1997,1620 Gateway Junction,299-257-1439
396,Gertie,16-11-1995,99 Sommers Way,607-233-1315
397,Rhoda,16-05-1995,0 Milwaukee Junction,215-405-2969
398,Maxy,08-01-1996,25 Rieder Junction,756-257-4091
399,Baron,18-01-1997,724 Clemons Terrace,365-703-5871
400,Tildi,04-06-1996,73602 Shelley Court,629-507-0103
401,Denys,15-05-1998,786 Swallow Pass,151-873-0020
402,Hinze,02-04-1997,617 Evergreen Way,833-481-0076
403,Joye,23-05-1995,30707 Manley Hill,525-426-2177
404,Philly,02-07-1997,54058 John Wall Court,269-411-7390
405,Shaina,15-06-1995,958 Glacier Hill Trail,664-193-2402
406,Jinny,02-10-1998,5528 Ryan Avenue,730-218-1365
407,Vinson,13-04-1996,9207 High Crossing Place,669-186-0431
408,Riccardo,23-12-1996,72827 Texas Road,974-746-2016
409,Tonnie,19-12-1995,14875 Sundown Way,935-444-4446
410,Kin,10-12-1995,4 Golf Course Circle,575-301-4052
411,Mattias,20-02-1998,7 Manufacturers Parkway,631-922-0630
412,Thomasina,10-08-1996,53 Declaration Road,429-722-1434
413,Brooks,01-12-1997,149 Forest Center,870-396-4335
414,Ron,01-05-1996,0965 Beilfuss Plaza,578-390-0897
415,Greg,13-11-1998,361 Northview Circle,464-203-0893
416,Tad,12-04-1996,97 Miller Circle,381-880-3075
417,Adore,29-05-1997,2948 Hansons Pass,694-635-5176
418,Wilmar,29-03-1995,8 Crescent Oaks Park,833-590-5943
419,Clayson,09-09-1996,87 Stuart Drive,670-142-8532
420,Farleigh,30-03-1997,10 Ridgeway Hill,244-230-5731
421,Susan,10-11-1996,4974 Linden Place,273-408-5502
422,Petronella,01-09-1996,7649 Bowman Lane,529-745-1287
423,Lexine,23-02-1995,910 Corry Pass,864-941-5837
424,Rip,04-08-1995,9190 Rieder Place,457-848-3755
425,Gal,13-07-1998,54 Comanche Point,566-996-7459
426,Pepillo,03-08-1998,36 Arrowood Center,899-248-7506
427,Tedman,12-07-1998,445 Spaight Pass,107-899-0651
428,Torry,11-07-1996,048 Maple Crossing,899-164-8281
429,Johnnie,01-08-1996,57519 Rigney Court,531-763-2234
430,Branden,13-10-1998,086 Crowley Court,874-716-4581
431,Nickola,25-05-1997,39 South Park,908-498-1554
432,Bella,31-10-1998,3 Erie Drive,216-441-2464
433,Jean,25-11-1996,3387 Haas Place,312-705-4219
434,Gnni,04-12-1995,32436 Saint Paul Terrace,570-421-1195
435,Leigh,06-06-1996,7661 Almo Park,610-697-7473
436,Aldon,25-10-1997,729 Warbler Park,579-142-5712
437,Joya,04-06-1995,499 Fieldstone Crossing,189-402-7955
438,Averil,11-12-1995,5 Becker Point,520-874-8768
439,Rutter,23-10-1996,22103 New Castle Junction,288-829-9161
440,Merola,14-03-1995,3 Kipling Parkway,657-303-7163
441,Garry,18-10-1995,882 Eliot Park,477-108-0488
442,Atlante,27-11-1997,943 Melody Hill,837-483-6032
443,Kerwin,26-07-1997,886 Artisan Plaza,836-479-2898
